"URL","Status","Working"
"https://www.fakir.az/fakir-kaavedualpro-turk-kofe-mashini-antrasit-turk-qhvbisirn-fakir-936-11-O.png","200","True"
"https://fakirglobal.com/fakir-kaave-turkish-coffee-maker-silver-2079-37-K.jpg","ERROR","False"
"https://www.fakir.az/kaave-mono-turk-qhvsi-makinesi-rosie-turk-qhvbisirn-fakir-1899-11-O.png","ERROR","False"
"https://fakirglobal.com/baba-manuel-espresso-machine-2222-32-K.jpg","200","True"
"https://fakirglobal.com/aromatic-coffee-spice-prinder-1824-73-K.jpg","200","True"
"https://fakirglobal.com/darkys-two-in-one-vertical-cable-dry-vacuum-broom-rouge-2139-26-K.jpg","200","True"
"https://productimages.hepsiburada.net/s/504/110000558492357.jpg","ERROR","False"
"https://fakirglobal.com/robert-rs-770-akilli-robot-supurge-706-50-K.png","200","True"
"https://fakirglobal.com/robert-rs-780-plus-cop-istasyonlu-akilli-robot-supurge-821-54-K.png","200","True"
"https://fakirglobal.com/freelander-bl-6056-bagless-electric-vacuum-cleaner-silverstone-2104-26-K.jpg","ERROR","False"
"https://www.fakir.az/wd-7-pure-clean-2-in-1-dikey-sarjli-supurge-sarjli-dikey-supurge-fakir-2165-11-O.jpg","ERROR","False"
"https://www.fakir.az/airform-sac-sekillendirici-seti-fen-sac-feni-fakir-2058-11-O.png","ERROR","False"
"https://www.fakir.az/ion-booster-sac-kurutma-makinesi-sac-feni-fakir-2052-11-O.jpg","200","True"
"https://www.fakir.az/master-d-sac-kurutma-makinesi-sac-feni-fakir-2056-11-O.png","ERROR","False"
"https://www.fakir.az/super-d-sac-kurutma-makinesi-sac-feni-fakir-2059-11-O.png","ERROR","False"
"https://www.fakir.az/ion-fusion-duzlestirici-duzlestirici-fakir-2053-11-O.jpg","200","True"
"https://www.fakir.az/sapphire-luxe-steam-buxarli-sac-duzlesdirici-duzlesdirici-fakir-2057-11-O.jpg","200","True"
"https://www.fakir.az/ion-fusion-3-in-1-sac-sekillendirici-sac-sekillendirici-fakir-2054-11-O.png","ERROR","False"
"https://www.fakir.az/uno-chefry-sicak-hava-fritozu-fritoz-fakir-1522-11-O.png","200","True"
"https://www.fakir.az/premium-chefry-sicak-hava-fritozu-fritoz-fakir-1526-11-O.png","200","True"
"https://fakirglobal.com/culina-chef-kitchen-trying-rouge-1711-28-K.png","200","True"
"https://fakirglobal.com/culina-chef-kitchen-trynet-violet-1712-28-K.png","200","True"
"https://www.fakir.az/flourish-mutfak-sefi-grey-mtbx-sefi-fakir-2141-11-O.jpg","200","True"
"https://fakirglobal.com/magichef-kitchen-chef-2960-60-K.png","200","True"
"https://fakirglobal.com/alba-bread-frying-machine-rosie-1860-44-K.png","200","True"
"https://fakirglobal.com/n-joy-tost-makinesi-rosie-221-42-K.jpg","200","True"
"https://fakirglobal.com/grill-expert-elite-grill-toaster-2925-55-K.png","200","True"
"https://fakirglobal.com/grill-expert-pro-izgara-tost-makinesi-2926-55-K.png","200","True"
"https://www.fakir.az/crispy-tost-makinesi-matte-black-tost-makinesi-fakir-1956-11-O.png","200","True"
"https://www.fakir.az/fakir-skyfall-buxarli-utu-buxarli-utu-fakir-2072-11-O.jpg","200","True"
"https://www.fakir.az/fakir-skywalk-buxarli-utu-buxarli-utu-fakir-2067-11-O.jpg","200","True"
"https://fakirglobal.com/steel-proof-1800-kiyma-makinesi-300-58-K.png","200","True"
"https://fakirglobal.com/torque-1800-et-kiyma-makinesi-686-51-K.png","200","True"
"https://fakirglobal.com/juice-max-kati-meyve-presi-509-93-K.png","200","True"
"https://fakirglobal.com/alina-clean-cok-fonksiyonlu-buharli-temizleyici-1240-51-K.png","200","True"
"https://www.fakir.az/max-steam-cleaner-buxarli-temizleyici-fakir-2113-11-O.png","ERROR","False"
